a52dec 0.8.0-2
aalib 1.4rc5-17
abseil-cpp 20230802.1-1
accounts-qml-module 0.7-4
accountsservice 23.13.9-1
acl 2.3.2-1
acpi 1.7-3
acpi_call 1.2.2-186
acpid 2.0.34-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adwaita-cursors 45.0-1
adwaita-icon-theme 45.0-1
aha 0.5.1-2
akonadi 23.08.5-1
akonadi-calendar 23.08.5-1
akonadi-calendar-tools 23.08.5-1
akonadi-contacts 23.08.5-1
akonadi-import-wizard 23.08.5-1
akonadi-mime 23.08.5-1
akonadi-notes 23.08.5-1
akonadi-search 23.08.5-1
akonadiconsole 23.08.5-1
akregator 23.08.5-1
alligator 23.08.5-1
alsa-card-profiles 1:1.0.3-1
alsa-lib 1.2.11-1
alsa-plugins 1:1.2.7.1-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.11-1
alsa-utils 1.2.11-1
analitza5 23.08.5-1
angelfish 23.08.5-1
aom 3.8.1-1
appstream 1.0.1-2
appstream-qt5 1.0.1-2
arch-install-scripts 28-1
archlinux-appstream-data 20240112-1
archlinux-keyring 20240208-1
argon2 20190702-5
arianna 23.08.5-1
aribb24 1.0.3-3
ark 23.08.5-1
artikulate 23.08.5-1
at-spi2-core 2.50.1-1
attica5 5.115.0-1
attr 2.5.2-1
audiocd-kio 23.08.5-1
audiofile 0.3.6-8
audiotube 23.08.5-1
audit 4.0-1
autoconf 2.72-1
automake 1.16.5-2
avahi 1:0.8+r194+g3f79789-1
avogadro-crystals 1.99.0-1
avogadro-fragments 1.99.0-1
avogadro-molecules 1.99.0-1
avogadrolibs 1.99.0-1
avogadrolibs-qt5 1.99.0-1
baloo-widgets 23.08.5-1
baloo5 5.115.0-1
base 3-2
base-devel 1-1
bash 5.2.026-2
bash-completion 2.11-3
bcg729 1.1.1-1
bind 9.18.24-1
binutils 2.42-2
bison 3.8.2-6
black-hole-solver 1.12.0-1
blas 3.12.0-3
blinken 23.08.5-1
bluedevil 1:5.27.10-3
bluez 5.72-2
bluez-libs 5.72-2
bluez-qt5 5.115.0-1
bluez-utils 5.72-2
bolt 0.9.7-1
bomber 23.08.5-1
boost-libs 1.83.0-5
bovo 23.08.5-1
breeze 5.27.10-1
breeze-gtk 5.27.10-1
breeze-icons 5.115.0-1
breeze-plymouth 5.27.10-1
bridge-utils 1.7.1-1
brltty 6.6-5
brotli 1.1.0-1
browsh 1.8.3-1
btrfs-progs 6.7.1-1
bubblewrap 0.8.0-1
bzip2 1.0.8-5
c-ares 1.27.0-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.98-1
ca-certificates-utils 20220905-1
cairo 1.18.0-1
calendarsupport 23.08.5-1
cantarell-fonts 1:0.303.1-1
cantor 23.08.5-1
capstone 5.0.1-2
cblas 3.12.0-3
cdparanoia 10.2-9
cervisia 23.08.5-1
cfitsio 1:4.3.1-1
chromaprint 1.5.1-7
cifs-utils 7.0-3
clang 16.0.6-2
clinfo 3.0.21.02.21-1
cmark 0.31.0-2
colord 1.4.7-2
colord-kde 23.08.5-1
compiler-rt 16.0.6-3
containerd 1.7.13-1
convertlit 1.8-11
coordgen 3.0.2-1
coreutils 9.4-3
cpio 2.15-1
cronie 1.7.1-1
cryptsetup 2.7.0-1
cups 1:2.4.7-2
cups-filters 2.0.0-1
curl 8.6.0-3
dav1d 1.4.0-1
db 6.2.32-1
db5.3 5.3.28-4
dbus 1.14.10-2
dbus-broker 35-2
dbus-broker-units 35-2
dbus-python 1.3.2-2
dconf 0.40.0-2
ddcutil 2.1.4-1
debugedit 5.0-5
default-cursors 2-1
desktop-file-utils 0.27-1
device-mapper 2.03.23-1
dialog 1:1.3_20240101-1
diffutils 3.10-1
ding-libs 0.6.2-1
discount 3.0.0.d-1
discover 5.27.10.1-1
djvulibre 3.5.28-5
dmidecode 3.5-1
dnsmasq 2.90-1
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
docker 1:25.0.2-1
docker-compose 2.24.6-1
dolphin 23.08.5-1
dolphin-plugins 23.08.5-1
dosfstools 4.2-3
double-conversion 3.3.0-1
doxygen 1.10.0-2
dragon 23.08.5-1
drkonqi 5.27.10-1
dtc 1.7.0-4
duktape 2.7.0-6
dust 0.9.0-1
e2fsprogs 1.47.0-1
ebook-tools 0.2.2-7
editorconfig-core-c 0.12.6-1
edk2-aarch64 202311-1
edk2-arm 202311-1
edk2-ovmf 202311-1
efibootmgr 18-2
efivar 39-1
egl-wayland 2:1.1.13-1
eglexternalplatform 1.1-2
elfutils 0.190-2
elisa 23.08.5-1
enchant 2.6.5-1
eventviews 23.08.5-1
exiv2 0.28.2-1
expat 2.6.0-1
eza 0.18.4-1
faac 1.30-4
faad2 2.11.1-1
fakeroot 1.33-2
fcitx5 5.1.7-3
fcitx5-configtool 5.1.3-1
fcitx5-mozc 2.26.4632.102.g4d2e3bd-2
fcitx5-qt 5.1.4-4
ffmpeg 2:6.1.1-5
ffmpeg4.4 4.4.4-4
ffmpegthumbs 23.08.5-1
fftw 3.3.10-6
file 5.45-1
filelight 23.08.5-1
filesystem 2024.01.19-1
findutils 4.9.0-3
firefox 123.0-1
firewalld 2.1.1-1
flac 1.4.3-1
flatpak 1:1.15.6-2
flatpak-kcm 5.27.10-1
flex 2.6.4-5
fluidsynth 2.3.4-1
fmt 10.2.0-1
fontconfig 2:2.15.0-2
foomatic-db-engine 5:20200131-1
frameworkintegration5 5.115.0-1
freecell-solver 6.8.0-1
freeglut 3.4.0-1
freetype2 2.13.2-1
frei0r-plugins 2.3.2-2
fribidi 1.0.13-2
fuse-common 3.16.2-1
fuse2 2.9.9-4
fuse3 3.16.2-1
futuresql-qt5 0.1.1-2
gawk 5.3.0-1
gc 8.2.6-1
gcc 13.2.1-5
gcc-libs 13.2.1-5
gcr 3.41.2-1
gcr-4 4.2.0-1
gd 2.3.3-7
gdb 14.1-1
gdb-common 14.1-1
gdbm 1.23-2
gdk-pixbuf2 2.42.10-2
geoclue 2.7.1-2
gettext 0.22.4-1
ghidra 11.0.1-1
ghostscript 10.02.1-1
ghostwriter 23.08.5-1
giflib 5.2.2-1
git 2.44.0-1
glew 2.2.0-6
glib-networking 1:2.78.0-1
glib2 2.78.4-1
glibc 2.39-1
glibc-locales 2.39-1
glslang 14.0.0-1
glu 9.0.3-1
glusterfs 1:11.1-1
gmp 6.3.0-1
gnome-terminal 3.50.1-1
gnugo 3.8-7
gnupg 2.4.4-1
gnutls 3.8.3-1
go 2:1.22.0-1
gobject-introspection-runtime 1.78.1-1
google-chrome 122.0.6261.69-1
gperftools 2.15-1
gpgme 1.23.2-1
gpm 1.20.7.r38.ge82d1a6-5
